22145	752.9	753	1.00		7529.3	7530	1.00
24359	828.2	827	1.00		8282.1	8281	1.00
26794	911.0	911	1.00		9110.0	9109	1.00
29473	1002.1	1002	1.00		10020.8	10021	1.00

verify - 32 bit
100	3.4	6	1.76		34.0	35	1.03
110	3.7	6	1.60		37.4	37	0.99
121	4.1	6	1.46		41.1	41	1.00
133	4.5	7	1.55		45.2	47	1.04
146	5.0	7	1.41		49.6	51	1.03
160	5.4	8	1.47		54.4	56	1.03
176	6.0	8	1.34		59.8	61	1.02
193	6.6	9	1.37		65.6	67	1.02
212	7.2	9	1.25		72.1	73	1.01
233	7.9	10	1.26		79.2	79	1.00
256	8.7	11	1.26		87.0	90	1.03
281	9.6	11	1.15		95.5	97	1.02
309	10.5	12	1.14		105.1	106	1.01
339	11.5	13	1.13		115.3	116	1.01
372	12.6	14	1.11		126.5	127	1.00
409	13.9	15	1.08		139.1	140	1.01
449	15.3	17	1.11		152.7	154	1.01
493	16.8	18	1.07		167.6	167	1.00
542	18.4	20	1.09		184.3	185	1.00
596	20.3	22	1.09		202.6	204	1.01
655	22.3	24	1.08		222.7	223	1.00
720	24.5	26	1.06		244.8	246	1.00
792	26.9	28	1.04		269.3	271	1.01
871	29.6	31	1.05		296.1	296	1.00
958	32.6	33	1.01		325.7	325	1.00
1053	35.8	37	1.03		358.0	359	1.00
1158	39.4	41	1.04		393.7	395	1.00
1273	43.3	44	1.02		432.8	432	1.00
1400	47.6	48	1.01		476.0	476	1.00
1540	52.4	54	1.03		523.6	526	1.00
1694	57.6	58	1.01		576.0	576	1.00
1863	63.3	64	1.01		633.4	634	1.00
2049	69.7	72	1.03		696.7	699	1.00
2253	76.6	78	1.02		766.0	766	1.00
2478	84.3	85	1.01		842.5	842	1.00
2725	92.7	94	1.01		926.5	927	1.00
2997	101.9	102	1.00		1019.0	1019	1.00
3296	112.1	113	1.01		1120.6	1121	1.00
3625	123.3	124	1.01		1232.5	1233	1.00
3987	135.6	135	1.00		1355.6	1356	1.00
4385	149.1	151	1.01		1490.9	1492	1.00
4823	164.0	165	1.01		1639.8	1639	1.00
5305	180.4	181	1.00		1803.7	1803	1.00
5835	198.4	199	1.00		1983.9	1983	1.00
6418	218.2	219	1.00		2182.1	2183	1.00
7059	240.0	240	1.00		2400.1	2400	1.00
7764	264.0	264	1.00		2639.8	2640	1.00
8540	290.4	291	1.00		2903.6	2904	1.00
9394	319.4	320	1.00		3194.0	3194	1.00
10333	351.3	352	1.00		3513.2	3513	1.00
11366	386.4	387	1.00		3864.4	3864	1.00
12502	425.1	426	1.00		4250.7	4250	1.00
13752	467.6	467	1.00		4675.7	4675	1.00
15127	514.3	514	1.00		5143.2	5143	1.00
16639	565.7	567	1.00		5657.3	5655	1.00
18302	622.3	622	1.00		6222.7	6221	1.00
20132	684.5	685	1.00		6844.9	6845	1.00
22145	752.9	754	1.00		7529.3	7530	1.00
24359	828.2	828	1.00		8282.1	8281	1.00
26794	911.0	912	1.00		9110.0	9109	1.00
29473	1002.1	1003	1.00		10020.8	10021	1.00
32420	1102.3	1102	1.00		11022.8	11022	1.00
35662	1212.5	1213	1.00		12125.1	12125	1.00
39228	1333.8	1334	1.00		13337.5	13337	1.00
43150	1467.1	1468	1.00		14671.0	14671	1.00
47465	1613.8	1614	1.00		16138.1	16137	1.00
52211	1775.2	1775	1.00		17751.7	17750	1.00
57432	1952.7	1954	1.00		19526.9	19527	1.00
63175	2148.0	2148	1.00		21479.5	21478	1.00
69492	2362.7	2362	1.00		23627.3	23627	1.00
76441	2599.0	2599	1.00		25989.9	25990	1.00
84085	2858.9	2860	1.00		28588.9	28588	1.00
92493	3144.8	3145	1.00		31447.6	31447	1.00
101742	3459.2	3459	1.00		34592.3	34591	1.00
111916	3805.1	3805	1.00		38051.4	38051	1.00
123107	4185.6	4187	1.00		41856.4	41855	1.00
135417	4604.2	4605	1.00		46041.8	46040	1.00
148958	5064.6	5064	1.00		50645.7	50644	1.00
163853	5571.0	5573	1.00		55710.0	55711	1.00
180238	6128.1	6130	1.00		61280.9	61281	1.00
198261	6740.9	6741	1.00		67408.7	67408	1.00
218087	7415.0	7415	1.00		74149.6	74147	1.00
239895	8156.4	8156	1.00		81564.3	81564	1.00
263884	8972.1	8972	1.00		89720.6	89720	1.00
290272	9869.2	9868	1.00		98692.5	98691	1.00
